"ID","Title","Hyperlink","Make","Model","Year","Mileage","Fuel Type","Transmission","Body Type","Seats","Engine Size(Litres)","Road Tax","NCT Expiry","Country of Registeration","Colour","Doors","Views","Days Online"
"25822915","Renault Captur Signature 1.5 DCI 90 20","https://www.donedeal.ie/cars-for-sale/renault-captur-signature-1-5-dci-90-20/25822915","Renault","Captur","2016","118001 km","Diesel","Manual","Hatchback","","1.5","180","Feb 2020","Ireland","Red","4","101","7 days"
"25811609","Hyundai i30 SE 100 Bluedrive ISG Start/stop","https://www.donedeal.ie/cars-for-sale/hyundai-i30-se-100-bluedrive-isg-start-stop/25811609","Hyundai","i30","2016","22000 mi","Petrol","Manual","Hatchback","","1.4","","","UK","Red","5","84","8 days"
"25392113","€38 PW NO DEPOSIT, HYUNDAI i30, 2011, 1.6CRDI","https://www.donedeal.ie/cars-for-sale/38-pw-no-deposit-hyundai-i30-2011-1-6crdi/25392113","Hyundai","i30","2011","115000 mi","Diesel","Manual","Estate","5","1.6","270","Dec 2021","UK","Blue","5","139","1 day"
"25703764","Renault Megane Coupe 1.5dci","https://www.donedeal.ie/cars-for-sale/renault-megane-coupe-1-5dci/25703764","Renault","Megane","2011","165195 km","Diesel","Manual","Coupe","5","1.5","200","Jun 2021","Ireland","Black","2","295","19 days"
"25573378","Renault Clio V Dynamique TCE 100 My19","https://www.donedeal.ie/cars-for-sale/renault-clio-v-dynamique-tce-100-my19/25573378","Renault","Clio","2020","1295 km","Petrol","Manual","Hatchback","","1.0","180","Jan 2024","Ireland","Black","5","29","1 day"
"23484932","Nissan Juke Tekna DCI - TOP Spec With Full Leather","https://www.donedeal.ie/cars-for-sale/nissan-juke-tekna-dci-top-spec-with-full-leather/23484932","Nissan","Juke","2017","60085 mi","Diesel","Manual","Crossover","","1.5","190","","UK","Red","","109","7 days"
"25467686","Vw Tiguan","https://www.donedeal.ie/cars-for-sale/vw-tiguan/25467686","Volkswagen","Tiguan","2012","165000 km","Diesel","Manual","SUV","5","2.0","280","Oct 2020","Ireland","Black","5","833","5 days"
"25008544","Nissan Pulsar 1.2 PET SV E6 4DR","https://www.donedeal.ie/cars-for-sale/nissan-pulsar-1-2-pet-sv-e6-4dr/25008544","Nissan","Pulsar","2017","21100 km","Petrol","Manual","Hatchback","","1.2","200","Mar 2021","Ireland","Black","4","131","9 days"
"25814891","2012 Nissan Qashqui 2.0 Diesel 4WD Low KLM AUTO","https://www.donedeal.ie/cars-for-sale/2012-nissan-qashqui-2-0-diesel-4wd-low-klm-auto/25814891","Nissan","Qashqai","2012","68000 mi","Diesel","Automatic","MPV","","2.0","750","Aug 2021","Ireland","Red","4","374","2 days"
"25876287","Audi A 5 , 2.7 tdi s line","https://www.donedeal.ie/cars-for-sale/audi-a-5-2-7-tdi-s-line/25876287","Audi","A5","2008","209000 km","Diesel","Automatic","Coupe","4","2.7","750","Mar 2021","Ireland","Grey","2","265","1 day"
"25824378","2015 Volkswagen Polo SE TSI 1.2 petrol","https://www.donedeal.ie/cars-for-sale/2015-volkswagen-polo-se-tsi-1-2-petrol/25824378","Volkswagen","Polo","2015","108000 mi","Petrol","Manual","Hatchback","5","1.2","","","UK","Black","5","227","2 days"
"22336972","Jaguar XF, 2011","https://www.donedeal.ie/cars-for-sale/jaguar-xf-2011/22336972","Jaguar","XF","2011","116000 mi","Diesel","Automatic","Saloon","","3.0","750","Mar 2021","Ireland","Grey","4","100","22 hours"
"25583659","Dacia Duster Prestige 1.5 dCi 110 4x2","https://www.donedeal.ie/cars-for-sale/dacia-duster-prestige-1-5-dci-110-4x2/25583659","Dacia","Duster","2018","61228 km","Diesel","Manual","SUV","","1.5","200","Feb 2022","Ireland","Black","4","95","8 days"
"25385132","Volkswagen Jetta 23 CL 1.6tdi M5F 105HP 4DR","https://www.donedeal.ie/cars-for-sale/volkswagen-jetta-23-cl-1-6tdi-m5f-105hp-4dr/25385132","Volkswagen","Jetta","2014","139105 km","Diesel","Manual","Saloon","","1.6","200","Dec 2020","Ireland","Silver","4","96","3 days"
"25870552","High spec BMW 1 SERIES 161D SPORT 1.6L","https://www.donedeal.ie/cars-for-sale/high-spec-bmw-1-series-161d-sport-1-6l/25870552","BMW","1-Series","2016","100000 mi","Diesel","Manual,Manual","Hatchback,Hatchback","55","1.5","190","Oct 2020","Ireland","Other","5,5","220","2 days"
"25882524","141 Seat Alhambra 2.0tdi 115HP","https://www.donedeal.ie/cars-for-sale/141-seat-alhambra-2-0tdi-115hp/25882524","SEAT","Alhambra","2014","193800 km","Diesel","Manual","MPV","7","2.0","390","Jan 2020","Ireland","Silver","5","177","1 day"
"25819488","Volvo XC90 2.0 Phev R-design PRO T8 7 Seater AWD","https://www.donedeal.ie/cars-for-sale/volvo-xc90-2-0-phev-r-design-pro-t8-7-seater-awd/25819488","Volvo","XC90","2019","7240 km","Hybrid","Automatic","SUV","","2.0","","Sep 2023","Ireland","Black","5","238","7 days"
"25867784","Hyundai Santa Fee CRDI 4WD","https://www.donedeal.ie/cars-for-sale/hyundai-santa-fee-crdi-4wd/25867784","Hyundai","Santa-FE","2010","198000 km","Diesel","Manual","SUV","5","2.2","750","Jul 2020","Ireland","Black","4","348","2 days"
"25848977","Campervan","https://www.donedeal.ie/cars-for-sale/campervan/25848977","Ford","Transit","2016","138000 km","Diesel","Manual","","5","2.2","","","Ireland","Silver","","743","4 days"
"25382565","Renault KADJAR GT Line TCE 140 GPF MY1","https://www.donedeal.ie/cars-for-sale/renault-kadjar-gt-line-tce-140-gpf-my1/25382565","Renault","KADJAR","2019","6223 km","Petrol","Manual","SUV","","1.3","280","Jul 2023","Ireland","Blue","5","26","1 day"
"25637648","2015 Hyundai I40 1.7 Diesel executive Model Estate","https://www.donedeal.ie/cars-for-sale/2015-hyundai-i40-1-7-diesel-executive-model-estate/25637648","Hyundai","I40","2015","111000 mi","Diesel","Manual","Estate/Jeep","","1.7","200","Jun 2021","Ireland","Beige","5","226","2 days"
"25689013","Peugeot 208 1.4 HDI 70 BHP Access","https://www.donedeal.ie/cars-for-sale/peugeot-208-1-4-hdi-70-bhp-access/25689013","Peugeot","208","2013","37698 mi","Diesel","Manual","Hatchback","","1.4","","Aug 2022","Ireland","Grey","5","103","5 days"
"25890251","Audi A6 190bhp ultra","https://www.donedeal.ie/cars-for-sale/audi-a6-190bhp-ultra/25890251","Audi","A6","2015","270000 km","Diesel","Automatic","Saloon","5","2.0","190","Jun 2021","Ireland","Blue","4","235","14 hours"
"25863313","2015 BMW 1 Series BMW120D M-SPORT XDRIVE","https://www.donedeal.ie/cars-for-sale/2015-bmw-1-series-bmw120d-m-sport-xdrive/25863313","BMW","1-Series","2015","129875 km","Diesel","Manual","Hatchback","5","2.0","270","Dec 2021","Ireland","Grey","5","410","3 days"
"25867611","BMW 520 msport","https://www.donedeal.ie/cars-for-sale/bmw-520-msport/25867611","BMW","5-Series","2011","","Diesel","Manual","Saloon","5","2.0","270","Oct 2021","Ireland","Black","4","645","2 days"
"25783496","2016 Ford Focus Zetec","https://www.donedeal.ie/cars-for-sale/2016-ford-focus-zetec/25783496","Ford","Focus","2016","118000 km","Diesel","Manual","Hatchback","5","1.5","180","Jan 2022","Ireland","Silver","4","176","11 days"
